replicate,treatment,day,time,scan,sex,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,open,Total
1,low,1,1000,1,female,3,0,1,1,2,0,1,1,0,1,0,1,1,12
1,low,1,1000,1,both,4,2,1,2,4,0,1,1,1,3,2,1,2,24
1,low,1,1100,2,male,1,2,0,0,2,0,1,0,1,2,2,0,1,12
1,low,1,1100,2,female,2,1,0,0,2,0,2,2,0,1,0,1,1,12
1,low,1,1100,2,both,3,3,0,0,4,0,3,2,1,3,2,1,2,24
1,low,1,1200,3,male,2,2,0,0,2,0,0,0,0,2,2,0,2,12
1,low,1,1200,3,female,2,1,0,0,2,0,1,2,0,2,0,0,2,12
1,low,1,1200,3,both,4,3,0,0,4,0,1,2,0,4,2,0,4,24
1,low,1,1300,4,male,3,2,0,0,0,0,0,0,0,1,1,1,4,12
1,low,1,1300,4,female,1,0,0,0,0,0,2,2,0,1,0,0,6,12
1,low,1,1300,4,both,4,2,0,0,0,0,2,2,0,2,1,1,10,24
1,low,1,1400,5,male,2,0,1,0,0,0,1,1,1,1,0,0,5,12
1,low,1,1400,5,female,0,1,1,0,0,0,0,0,0,0,0,0,10,12
1,low,1,1400,5,both,2,1,2,0,0,0,1,1,1,1,0,0,15,24
1,low,1,1500,6,male,1,2,0,0,0,0,2,1,1,1,0,0,4,12
1,low,1,1500,6,female,0,1,0,1,0,0,1,1,0,0,2,0,6,12
1,low,1,1500,6,both,1,3,0,1,0,0,3,2,1,1,2,0,10,24
1,low,1,1600,7,male,0,1,0,0,1,1,0,2,2,4,0,1,0,12
1,low,1,1600,7,female,0,1,0,0,0,0,1,0,0,2,1,1,6,12
1,low,1,1600,7,both,0,2,0,0,1,1,1,2,2,6,1,2,6,24
1,low,1,1700,8,male,1,2,1,0,0,0,0,1,1,2,0,1,3,12
1,low,1,1700,8,female,0,0,0,1,1,0,0,1,0,1,0,2,6,12
1,low,1,1700,8,both,0,2,1,1,1,0,0,2,1,3,0,0,9,20
1,low,2,900,1,male,1,3,0,0,0,0,1,3,1,2,0,1,0,12
1,low,2,900,1,female,1,0,0,0,0,0,1,1,1,3,0,4,0,11
1,low,2,900,1,both,2,3,0,0,0,0,2,4,2,5,0,5,0,23
1,low,2,1000,2,male,1,3,0,0,0,0,1,3,1,2,0,1,0,12
1,low,2,1000,2,female,1,0,0,0,0,0,1,1,1,3,0,4,0,11
1,low,2,1000,2,both,2,3,0,0,0,0,2,4,2,5,0,5,0,23
1,low,2,1100,3,male,1,1,0,0,0,0,1,3,1,2,0,1,2,12
1,low,2,1100,3,female,1,0,0,0,0,0,1,1,1,3,0,3,1,11
1,low,2,1100,3,both,2,1,0,0,0,0,2,4,2,5,0,4,3,23
1,low,2,1200,4,male,1,2,0,0,0,0,1,3,1,2,0,1,1,12
1,low,2,1200,4,female,1,0,0,0,0,0,1,0,1,2,0,2,4,11
1,low,2,1200,4,both,2,2,0,0,0,0,2,3,2,4,0,3,5,23
1,low,2,1300,5,male,1,0,0,0,0,0,2,2,0,2,0,1,4,12
1,low,2,1300,5,female,1,1,0,1,0,0,1,0,1,2,0,2,2,11
1,low,2,1300,5,both,2,1,0,1,0,0,3,2,1,4,0,3,6,23
1,low,2,1400,6,male,1,0,0,0,0,0,1,2,1,2,1,2,2,12
1,low,2,1400,6,female,1,1,1,1,0,0,1,0,0,2,0,2,2,11
1,low,2,1400,6,both,2,1,1,1,0,0,2,2,1,4,1,4,4,23
1,low,2,1500,7,male,1,0,0,0,0,0,2,2,1,2,0,2,2,12
1,low,2,1500,7,female,1,1,1,1,0,0,0,0,0,2,0,3,2,11
1,low,2,1500,7,both,2,1,1,1,0,0,2,2,1,4,0,5,4,23
1,low,2,1600,8,male,1,0,0,0,0,0,1,2,1,4,0,1,2,12
1,low,2,1600,8,female,1,1,1,1,0,0,0,0,0,2,0,3,2,11
1,low,2,1600,8,both,2,1,1,1,0,0,1,2,1,6,0,4,4,23
1,low,2,1700,9,male,1,0,0,0,0,0,1,2,1,4,0,1,2,12
1,low,2,1700,9,female,1,1,1,1,0,0,0,0,0,2,0,4,1,11
1,low,2,1700,9,both,2,1,1,1,0,0,1,2,1,6,0,5,3,23
1,low,3,900,1,male,1,2,0,0,0,0,1,3,1,4,0,0,0,12
1,low,3,900,1,female,1,0,0,2,0,0,1,0,0,2,0,5,0,11
1,low,3,900,1,both,2,2,0,2,0,0,2,3,1,6,0,5,0,23
1,low,3,1000,2,male,1,1,0,0,0,0,1,3,1,4,0,0,1,12
1,low,3,1000,2,female,1,0,0,2,0,0,1,0,0,2,0,5,0,11
