Group.Num,Block,Treatment,Day,Time,Location,Members,Notes
478,1,High,3,1100,2,G H,
479,1,High,3,1100,2,O Q S V,
480,1,High,3,1200,1,A M W K U I X N R T,
481,1,High,3,1200,2,C D E,
482,1,High,3,1200,2,G H,
483,1,High,3,1200,2,O Q S V,
484,1,High,3,1300,1,A K M W X L N R U T F I,
485,1,High,3,1300,2,B D E,
486,1,High,3,1300,2,G S V,
487,1,High,3,1400,1,O X,
488,1,High,3,1400,1,A M K L I R T,
489,1,High,3,1400,2,S V C,
490,1,High,3,1500,1,M A L W R T I,
491,1,High,3,1500,1,O X G,
492,1,High,3,1500,2,B D H,
493,1,High,3,1500,2,P S V F,
494,1,High,3,1600,1,A G,
495,1,High,3,1600,1,L X R T,
496,1,High,3,1600,1,E I K,
497,1,High,3,1600,2,F S,
498,1,High,3,1600,2,B N P,
499,1,High,3,1700,1,N X H R,
500,1,High,3,1700,1,M A D E K,
501,1,High,3,1700,2,B P,
502,1,High,3,1700,2,Q S W,
503,1,High,4,900,1,I U R X,
504,1,High,4,900,1,L C N T,
505,1,High,4,900,1,A D E G J K V,
506,1,High,4,900,2,B P,
507,1,High,4,900,2,F,1 more unidentified
508,1,High,4,900,2,S M H ,1 more unidentified
509,1,High,4,1000,1,I C K,
510,1,High,4,1000,1,G ,1 more unidentified
511,1,High,4,1000,1,E V,
512,1,High,4,1000,1,A R U,
513,1,High,4,1000,2,M ,1 more unidentified
514,1,High,4,1000,2,F ,1 more unidentified
515,1,High,4,1100,1,C G P R,
516,1,High,4,1100,1,D E,
517,1,High,4,1100,2,M,1 more unidentified
518,1,High,4,1100,2,F,1 more unidentified
519,1,High,4,1100,Outside,H I ,
520,1,High,4,1200,1,D E G V,
521,1,High,4,1200,1,U X A L,
522,1,High,4,1300,1,X L ,
523,1,High,4,1300,2,O H,
524,1,High,4,1300,2,F I,
525,1,High,4,1300,2,P Q,
526,1,High,4,1400,1,K L A C D E X,
527,1,High,4,1400,2,P Q,
528,1,High,4,1400,2,F S,
529,1,High,4,1400,2,U G,
530,1,High,4,1500,1,A K X L C O D R,
531,1,High,4,1500,2,P W,
532,1,High,4,1600,1,J L,
533,1,High,4,1600,1,G X,
534,1,High,4,1600,1,D M ,
535,1,High,4,1600,1,T C,
536,1,High,4,1600,2,P W,
537,1,High,4,1600,2,B Q S,
538,1,High,4,1700,1,I J L,
539,1,High,4,1700,1,D G H V X,
540,1,High,4,1700,2,N U R,
541,1,High,4,1700,2,K F,
542,1,High,4,1700,2,B Q S,
543,1,High,4,1700,2,P W,
544,1,High,5,900,1,C I M,
545,1,High,5,900,1,A D E G O R V J X,
546,1,High,5,900,2,H P Q,
547,1,High,5,900,2,B N W K S T U F,
548,1,High,5,1000,1,O X G,
549,1,High,5,1000,1,D V,
550,1,High,5,1000,1,M A C I R,
551,1,High,5,1000,2,H P,
552,1,High,5,1100,1,C I ,
553,1,High,5,1100,2,F K O,
554,1,High,5,1200,1,A C I X,
555,1,High,5,1200,2,H K ,
556,1,High,5,1200,2,Q U G,
557,1,High,5,1300,1,L I,
558,1,High,5,1300,1,D F,
559,1,High,5,1300,1,E G,
560,1,High,5,1400,Outside,A M,
561,1,High,5,1500,2,C D J,
562,1,High,5,1600,1,C A R,
563,1,High,5,1600,1,I D,
564,1,High,5,1600,1,N S F,
565,1,High,5,1700,1,L C V,
566,1,High,5,1700,1,A E I Q S W,
567,1,High,5,1700,1,B D F M N U,
568,1,High,6,900,1,D E F I M Q T U,
569,1,High,6,900,1,B C G N O S L W P A R V,
570,1,High,6,900,2,M K,
571,1,High,6,900,2,J X,
572,1,High,6,1000,1,C F O R N P S V E G I A W,
573,1,High,6,1000,1,Q T,
574,1,High,6,1000,2,H K ,
575,1,High,6,1000,2,J X,
576,1,High,6,1100,1,U Q T I W,
577,1,High,6,1100,1,A B C N O P M R V,
578,1,High,6,1100,2,X J,
579,1,High,6,1100,2,H K ,
580,1,High,6,1100,Outside,F G,
581,1,High,6,1200,1,D F P R G L O U V N A,
582,1,High,6,1200,1,Q S T C I W M,
583,1,High,6,1200,2,H K ,
584,1,High,6,1300,1,W M F I O Q T,
585,1,High,6,1300,1,N P R U V C,
586,1,High,6,1300,2,K H,
587,1,High,6,1300,2,J X,
588,1,High,6,1300,Outside,A D G,
589,1,High,6,1400,1,N R L ,
590,1,High,6,1400,1,A F P,
591,1,High,6,1400,1,C I T U V W M Q,
592,1,High,6,1400,2,O K,
593,1,High,6,1500,1,N R,
594,1,High,6,1500,1,D E G A,
595,1,High,6,1500,1,F P,
596,1,High,6,1500,1,W M C Q I T U V,
597,1,High,6,1500,2,J H K,
598,1,High,6,1600,1,N R F,
599,1,High,6,1600,1,U I W M T V D E,
600,1,High,6,1600,2,J B K,
601,1,High,6,1700,1,P R,
602,1,High,6,1700,1,N F L,
603,1,High,6,1700,1,C D E G I M Q T U V W,
604,1,High,6,1700,2,O K H J,
605,2,Low,1,900,1,O Q R G,
606,2,Low,1,900,3,X  S,
607,2,Low,1,900,7,E H W,
608,2,Low,1,900,8,M N,
609,2,Low,1,900,9,L C,
610,2,Low,1,900,10,U B ,
611,2,Low,1,900,11,J I ,
612,2,Low,1,1000,1,O G Q R,
613,2,Low,1,1000,9,L C D,
614,2,Low,1,1000,11,F I G,
615,2,Low,1,1100,1,O Q R,
616,2,Low,1,1100,7,C H,
617,2,Low,1,1100,9,D T,
618,2,Low,1,1200,1,O Q R,
619,2,Low,1,1200,1,X G,
620,2,Low,1,1200,7,C W,
621,2,Low,1,1200,8,E J V,
622,2,Low,1,1300,1,Q R G,
623,2,Low,1,1500,2,F U,
624,2,Low,1,1600,1,K L G,
625,2,Low,1,1600,3,O E,
626,2,Low,2,900,2,W K H,
627,2,Low,2,900,3,E I J,
628,2,Low,2,900,3,F X M,
629,2,Low,2,900,4,S U,
630,2,Low,2,900,5,N L Q,
631,2,Low,2,900,8,C P ,
632,2,Low,2,900,10,R O,
633,2,Low,2,1000,2,K W,
634,2,Low,2,1000,3,F M X,
